Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
32,56,Male,Married,IT,Analyst,3,15169,31,28,5,8,1,4,4,40,No,1,34,4,1,3,4,23,3,Yes
33,26,Female,Divorced,IT,Analyst,5,16363,31,12,4,2,4,5,3,84,No,2,55,13,4,2,3,34,2,Yes
34,40,Female,Divorced,Marketing,Manager,1,13665,45,27,9,6,4,3,3,45,No,1,56,4,1,4,1,17,3,No
35,28,Female,Married,Finance,Manager,4,7304,60,13,1,5,2,2,1,24,No,3,31,5,1,4,2,34,1,No
36,58,Male,Married,Sales,Manager,4,5010,63,13,6,2,1,4,3,2,No,3,50,11,4,2,2,31,1,No
37,37,Female,Divorced,Marketing,Analyst,2,19000,89,27,7,3,4,4,3,29,Yes,1,36,0,3,3,3,22,1,No
38,23,Female,Married,Finance,Manager,5,18537,94,21,14,4,4,5,1,85,Yes,8,35,7,4,1,4,5,1,Yes
39,44,Female,Divorced,IT,Assistant,1,4888,32,25,6,1,4,4,4,1,No,7,46,1,4,2,4,9,3,No
40,33,Male,Married,HR,Assistant,3,19752,89,14,12,7,2,1,3,8,No,6,54,7,1,4,2,18,4,No
41,28,Female,Married,Sales,Manager,2,4762,25,19,10,6,3,4,2,57,No,7,51,10,4,3,4,21,2,Yes
42,45,Female,Married,Finance,Analyst,5,19760,87,15,8,8,3,1,2,3,No,2,32,3,1,4,2,45,1,No
43,21,Male,Divorced,Sales,Executive,1,3002,69,21,11,7,4,5,4,71,No,8,32,16,3,1,2,6,2,No
44,39,Male,Single,HR,Analyst,2,3763,17,3,8,6,2,1,1,18,No,7,45,12,2,1,2,44,1,No
45,47,Female,Divorced,HR,Executive,1,18754,92,9,5,8,1,2,1,84,Yes,1,51,8,2,4,3,29,1,No
46,26,Female,Married,HR,Executive,1,5482,30,25,13,9,4,4,2,13,Yes,8,45,8,1,2,3,19,3,Yes
47,27,Female,Single,Marketing,Manager,2,13921,23,10,12,4,2,2,3,0,Yes,7,36,3,4,1,2,47,1,No
48,54,Male,Single,Sales,Assistant,2,16054,82,29,13,2,4,3,1,19,Yes,2,49,14,4,4,1,39,3,No
49,33,Male,Married,Marketing,Manager,5,5475,59,7,4,5,4,5,3,82,Yes,3,42,7,1,1,1,46,1,No
50,36,Female,Divorced,HR,Executive,2,9049,16,14,11,8,2,5,3,79,Yes,6,36,6,2,1,1,4,1,No
51,55,Male,Single,Finance,Manager,5,12256,36,17,7,5,2,4,4,73,No,6,32,19,3,2,3,44,1,No
52,59,Female,Single,HR,Executive,1,8997,83,25,9,2,4,4,1,65,Yes,4,48,16,1,2,1,39,1,Yes
53,23,Female,Divorced,Marketing,Manager,2,10424,63,14,13,1,3,5,2,64,Yes,8,42,19,2,1,4,41,4,No
54,21,Male,Divorced,HR,Assistant,5,9786,35,25,2,4,1,4,2,7,No,2,49,16,4,3,1,34,4,Yes
55,25,Female,Single,HR,Assistant,5,16413,88,10,12,7,3,1,2,8,Yes,3,57,12,4,2,4,44,1,Yes
56,23,Male,Divorced,Marketing,Analyst,3,14084,69,5,7,7,2,1,4,38,Yes,7,47,11,1,2,2,3,3,No
57,48,Male,Single,Marketing,Executive,5,7465,18,27,6,0,1,1,4,63,No,4,36,11,1,4,2,46,3,No
58,37,Female,Married,Finance,Executive,5,7946,72,18,3,2,1,5,2,56,No,8,34,1,3,4,2,28,2,No
59,45,Male,Divorced,Marketing,Manager,3,13514,84,29,2,4,4,5,4,81,Yes,9,38,17,1,2,3,12,3,Yes
60,53,Female,Single,Finance,Analyst,4,11238,73,17,1,0,3,2,2,14,No,6,54,11,3,3,4,10,3,No
61,29,Male,Divorced,IT,Assistant,2,6661,40,18,2,5,2,3,2,79,No,6,46,17,3,1,1,13,1,No
62,55,Female,Divorced,IT,Manager,3,5564,88,4,12,3,2,4,3,84,Yes,6,58,7,1,3,4,29,4,Yes
63,33,Female,Single,Marketing,Analyst,5,7927,83,20,5,8,1,5,2,24,No,8,45,2,3,4,3,46,1,No
64,50,Female,Married,HR,Assistant,5,13858,53,1,1,1,3,2,1,87,No,2,42,13,1,1,1,23,3,No
65,34,Male,Single,Sales,Manager,2,18295,15,13,8,9,3,3,4,15,No,2,41,2,4,3,3,23,2,No
66,27,Female,Divorced,HR,Assistant,1,4452,71,29,4,4,2,1,1,48,Yes,6,39,3,3,1,4,27,4,No
67,33,Male,Single,Marketing,Executive,3,9179,62,24,3,4,3,4,2,72,Yes,7,47,1,4,1,2,44,4,No
68,42,Male,Divorced,Finance,Analyst,4,5454,86,10,10,5,1,5,2,78,Yes,6,49,13,2,4,3,6,3,No
69,59,Male,Single,HR,Assistant,2,7060,35,28,2,4,2,2,1,47,No,3,34,17,3,3,2,19,2,No
70,40,Male,Married,IT,Analyst,2,17747,45,15,1,9,4,1,1,76,Yes,6,36,8,4,4,1,25,1,No
71,35,Male,Married,Marketing,Manager,3,14955,72,24,8,9,4,3,4,59,No,3,50,1,2,4,1,13,3,Yes
72,37,Female,Married,HR,Analyst,5,11970,61,24,9,8,1,2,1,60,No,1,58,4,3,1,4,11,2,No
73,43,Male,Married,HR,Manager,5,17226,37,5,3,0,3,3,2,43,No,4,30,2,4,4,4,46,2,No
74,45,Female,Single,Finance,Analyst,4,16119,89,26,3,7,2,5,4,23,No,4,49,14,4,3,3,6,2,No
75,44,Female,Married,Finance,Manager,3,16384,94,18,9,5,1,2,4,50,No,2,50,5,4,2,3,46,1,No
76,48,Male,Single,Finance,Manager,2,4601,21,4,7,8,2,4,1,32,Yes,6,44,15,4,1,1,19,4,No
77,34,Female,Divorced,Sales,Manager,3,6843,63,1,12,9,2,1,2,11,No,5,41,2,2,3,3,23,3,No
78,20,Female,Divorced,Marketing,Assistant,1,18744,45,10,12,6,1,2,4,9,Yes,1,31,8,2,1,2,32,1,Yes
79,44,Male,Divorced,Marketing,Executive,2,6675,61,17,9,2,4,5,2,30,No,2,46,6,1,2,2,43,2,No
80,26,Female,Married,IT,Analyst,4,15049,82,28,2,7,2,5,2,55,Yes,6,43,10,4,1,2,49,1,No
81,28,Male,Married,IT,Executive,4,4005,49,26,7,9,2,3,2,3,No,3,59,12,3,3,3,21,4,No
82,43,Male,Married,Marketing,Executive,2,3231,89,3,14,2,2,3,1,35,No,7,47,6,4,4,4,36,3,No
83,20,Male,Divorced,HR,Executive,5,14845,48,4,13,2,1,4,3,9,No,1,45,16,1,3,4,26,3,Yes
84,27,Female,Divorced,Marketing,Executive,2,19374,72,12,8,3,1,5,4,66,No,7,49,3,4,2,4,23,4,No
85,43,Female,Divorced,Sales,Analyst,2,19230,29,27,11,2,4,5,4,21,No,3,45,10,2,3,3,24,3,No
86,30,Female,Divorced,IT,Analyst,1,18389,92,28,4,5,2,5,4,84,Yes,6,55,17,1,4,3,8,1,No
87,36,Female,Single,IT,Executive,2,7970,99,11,13,6,1,1,3,37,No,1,32,19,3,2,1,4,4,No
88,27,Male,Single,IT,Analyst,3,18092,85,3,10,2,2,1,4,45,No,1,43,16,4,2,2,16,2,No
89,54,Male,Married,Marketing,Analyst,3,12089,95,28,11,2,4,5,3,66,Yes,1,57,8,2,3,4,20,4,No
90,54,Female,Married,IT,Manager,4,17867,56,11,4,6,3,1,1,28,No,6,37,19,1,2,2,21,1,Yes
91,52,Male,Divorced,IT,Analyst,5,10882,32,3,12,9,3,5,1,50,No,2,33,8,3,3,1,49,3,No
92,24,Female,Single,Marketing,Assistant,4,11343,92,24,2,8,3,3,2,59,Yes,8,33,18,2,1,4,40,1,Yes
93,58,Male,Single,HR,Executive,1,19555,52,4,2,2,4,3,4,58,No,9,50,5,2,2,4,48,3,No
94,47,Male,Married,IT,Analyst,2,8524,78,3,4,5,1,1,4,4,Yes,6,30,1,2,3,2,47,2,No
95,26,Male,Single,IT,Executive,4,4429,43,25,4,4,2,3,4,2,Yes,9,59,0,3,1,3,31,1,No
96,28,Male,Married,IT,Analyst,2,6199,24,12,5,7,1,3,3,63,Yes,7,30,0,2,4,1,8,4,No
97,27,Male,Divorced,Sales,Executive,4,13090,31,12,10,8,3,4,1,93,No,3,45,19,4,2,3,35,4,No
98,31,Female,Divorced,Marketing,Assistant,2,10432,46,17,14,7,3,4,2,46,Yes,9,42,7,3,4,3,29,3,No
99,53,Female,Married,IT,Analyst,4,17069,75,24,10,0,2,5,2,39,Yes,7,55,13,3,3,3,6,2,No
100,52,Male,Divorced,Sales,Analyst,3,19483,98,21,13,6,2,2,2,7,No,5,43,5,3,2,2,11,2,No
101,42,Female,Divorced,HR,Assistant,1,16875,95,8,10,7,4,2,4,55,No,7,50,13,4,2,2,25,2,Yes
102,43,Male,Single,HR,Analyst,4,16196,60,10,9,4,2,4,4,76,Yes,3,51,9,4,2,1,4,2,No
103,56,Male,Single,Sales,Executive,3,19970,85,16,11,3,1,5,2,53,No,1,44,5,3,1,1,41,4,No
104,54,Male,Single,HR,Assistant,5,14159,70,19,9,6,1,4,2,83,No,3,32,10,1,4,4,31,1,No
105,59,Male,Single,Finance,Manager,4,19639,75,15,7,5,2,3,2,76,No,8,33,13,1,1,1,30,3,No
106,41,Female,Single,HR,Executive,2,6007,58,22,6,1,1,5,1,5,Yes,4,44,1,3,1,1,18,3,No
107,46,Male,Married,Finance,Analyst,1,16966,52,11,10,8,1,5,4,73,No,6,37,17,4,4,4,34,2,No
108,54,Female,Married,Sales,Executive,3,16696,64,7,5,2,3,2,2,52,No,5,34,18,2,4,4,39,3,No
109,20,Male,Single,Finance,Assistant,3,15402,88,24,4,0,3,2,4,25,No,6,54,9,1,3,3,21,1,Yes
110,54,Male,Divorced,HR,Analyst,1,8112,46,7,2,2,2,2,1,69,Yes,1,47,15,1,3,3,32,2,No
111,56,Female,Divorced,IT,Analyst,4,4580,67,23,4,0,2,1,1,25,No,2,51,0,4,1,2,46,2,No
112,33,Male,Married,Finance,Assistant,2,6226,62,18,11,9,2,3,3,27,Yes,9,59,18,4,1,1,41,3,No
113,22,Male,Married,HR,Manager,5,7590,95,19,7,6,3,3,3,75,No,3,54,6,3,3,3,7,4,No
114,20,Female,Married,IT,Analyst,4,19465,15,16,1,5,1,3,4,52,No,2,43,14,1,4,1,22,3,No
115,24,Female,Divorced,Sales,Analyst,1,6012,44,22,3,7,4,3,4,60,No,5,50,12,2,2,1,34,1,No
116,45,Female,Married,Sales,Analyst,4,8301,23,3,4,3,1,3,4,39,Yes,5,42,5,4,4,2,49,3,No
117,33,Male,Divorced,Marketing,Manager,4,6112,47,25,7,5,4,3,2,67,No,6,50,8,3,1,2,32,3,No
118,58,Male,Married,Sales,Executive,1,9588,40,25,3,2,3,1,4,87,Yes,3,42,12,3,3,2,9,4,No
119,46,Female,Divorced,Marketing,Manager,1,8381,56,6,4,3,4,5,4,14,No,5,40,15,3,3,1,43,3,Yes
120,28,Female,Married,Sales,Executive,5,17067,88,1,1,5,2,2,2,87,No,5,50,5,2,2,1,33,3,No
121,34,Male,Married,Sales,Analyst,1,5104,56,1,12,4,2,2,3,12,Yes,8,59,18,4,1,1,6,1,No
122,34,Male,Divorced,Sales,Executive,1,10726,53,15,1,1,2,2,2,66,No,5,56,14,2,2,2,24,4,No
123,45,Female,Married,Marketing,Executive,1,12790,75,20,10,8,2,3,1,90,Yes,1,35,7,4,1,4,15,1,No
124,32,Female,Single,Marketing,Executive,3,11770,61,11,12,1,1,2,1,44,No,1,59,10,1,3,1,13,4,No
125,51,Female,Divorced,Finance,Executive,1,12106,56,10,3,7,2,1,4,78,No,1,37,8,1,3,1,14,2,No
126,58,Female,Married,HR,Analyst,1,17006,62,24,7,4,4,3,4,25,Yes,9,45,1,4,2,4,14,4,Yes
127,51,Male,Divorced,HR,Assistant,1,3774,66,3,13,6,3,3,4,55,Yes,7,37,1,4,3,2,10,3,No
128,23,Male,Married,HR,Manager,5,3056,47,4,11,5,2,1,2,22,No,3,30,4,2,3,2,27,1,No
129,49,Male,Single,Sales,Executive,4,10226,41,12,6,1,1,5,3,38,No,2,49,5,4,4,4,45,2,No
130,56,Male,Married,HR,Analyst,1,3545,57,27,5,3,2,1,2,96,No,2,38,6,2,2,1,39,4,No
131,42,Female,Married,Marketing,Analyst,1,7906,43,6,8,8,2,1,4,20,Yes,6,43,4,1,3,2,13,3,No
132,58,Male,Single,Finance,Analyst,5,12605,33,27,11,6,1,1,3,13,No,6,41,10,4,1,4,39,2,No
133,34,Female,Divorced,IT,Analyst,4,9395,96,25,8,0,3,5,1,12,Yes,6,51,2,2,1,1,12,1,No
134,48,Male,Married,Finance,Executive,5,17501,42,20,4,3,1,2,3,31,No,2,34,1,2,1,2,45,4,No
135,55,Male,Married,HR,Manager,2,15275,24,19,10,9,4,1,3,11,No,7,50,0,2,3,2,29,1,No
136,32,Male,Single,HR,Analyst,2,6388,81,26,6,2,1,3,2,62,Yes,3,43,18,4,1,3,12,2,No
137,51,Female,Divorced,Marketing,Manager,2,13821,30,26,12,0,4,2,3,51,No,1,43,1,2,1,4,40,3,No
138,26,Male,Divorced,Finance,Manager,1,3571,15,16,1,4,2,2,3,73,Yes,3,49,1,3,1,1,31,2,No
139,41,Female,Single,Marketing,Manager,5,19109,96,25,10,8,1,4,1,21,No,6,34,18,2,3,1,23,3,No
140,47,Female,Single,Marketing,Assistant,1,6927,18,23,14,3,2,1,3,46,Yes,7,59,19,4,4,2,45,3,No
141,21,Male,Married,IT,Analyst,2,19731,83,25,12,1,1,2,2,24,Yes,3,47,9,4,4,3,31,4,No
142,25,Female,Single,Marketing,Analyst,4,7592,99,27,10,6,4,3,1,92,Yes,8,38,2,4,4,1,19,2,No
143,47,Male,Single,Marketing,Analyst,4,13691,18,10,9,7,1,5,3,70,Yes,3,48,9,4,3,4,49,2,Yes
144,47,Female,Single,IT,Manager,5,19599,34,6,14,1,4,5,4,34,Yes,6,59,11,1,3,1,32,2,No
145,39,Male,Divorced,Sales,Analyst,4,9613,77,20,5,9,2,2,3,92,No,2,30,3,2,1,1,1,1,No
146,49,Female,Single,Sales,Analyst,2,14092,97,5,14,8,1,5,1,79,No,9,58,10,1,1,4,13,4,No
147,30,Female,Married,IT,Manager,5,11477,49,10,8,9,1,4,3,71,Yes,7,58,11,2,3,1,35,4,Yes
148,47,Male,Married,Marketing,Analyst,5,11052,59,12,10,7,2,5,1,50,No,8,31,17,4,4,4,46,3,No
149,44,Male,Married,HR,Executive,2,6059,71,18,10,3,1,5,1,58,Yes,2,50,12,3,2,1,9,1,No
150,58,Male,Single,Finance,Assistant,2,3050,38,3,1,3,4,5,2,72,No,4,41,8,1,3,2,13,1,No
151,52,Male,Divorced,HR,Executive,2,8538,34,5,14,4,1,3,3,19,Yes,8,39,0,4,2,2,35,3,No
152,20,Female,Single,HR,Executive,2,4725,42,29,4,0,2,4,4,18,Yes,9,50,13,1,3,3,8,3,No
153,46,Female,Single,Marketing,Executive,5,18410,52,3,13,6,1,4,1,15,No,4,56,16,4,1,1,44,4,No
154,32,Female,Married,Finance,Manager,4,7566,38,3,2,3,3,5,1,61,No,6,48,7,1,4,3,41,1,No
155,22,Female,Single,Finance,Analyst,2,14495,98,9,2,0,1,2,2,28,No,5,51,15,3,4,4,11,4,No
156,58,Male,Divorced,Sales,Executive,3,10857,38,4,2,3,1,3,2,97,No,6,49,10,1,4,1,35,3,No
157,25,Female,Married,IT,Executive,5,13909,84,20,2,3,1,2,2,91,Yes,3,31,4,2,1,4,18,1,No
158,27,Male,Divorced,Marketing,Analyst,1,10826,39,17,8,0,2,1,1,33,No,5,33,11,4,4,3,14,2,Yes
159,46,Female,Divorced,Finance,Manager,4,16791,95,28,6,8,2,3,4,80,Yes,7,50,14,4,1,3,43,4,No
160,28,Male,Divorced,Marketing,Executive,5,7533,95,7,9,7,4,5,1,3,No,4,35,11,1,3,1,2,3,No
161,56,Male,Single,Sales,Analyst,2,18491,83,29,2,8,3,3,2,54,No,5,46,10,4,3,1,48,2,No
162,52,Male,Single,HR,Analyst,3,19907,31,26,13,6,2,3,2,51,Yes,6,58,3,3,3,4,49,4,No
163,43,Male,Single,Finance,Assistant,1,7601,72,13,1,4,3,2,2,97,No,9,52,12,3,4,2,15,1,No
164,34,Male,Single,Sales,Executive,4,13130,87,25,14,6,1,1,2,29,Yes,9,30,19,2,3,2,40,2,Yes
165,51,Female,Married,Marketing,Executive,2,4204,34,28,8,1,1,3,1,58,Yes,9,59,15,3,4,1,48,4,No
166,51,Male,Single,Sales,Assistant,5,7082,16,24,10,9,1,1,2,63,No,1,49,7,2,3,1,23,4,Yes
167,43,Female,Married,Sales,Analyst,5,6334,97,12,14,6,1,1,4,37,Yes,3,58,19,4,1,1,15,2,No
168,31,Female,Divorced,Sales,Analyst,4,3711,23,18,13,3,3,2,4,29,No,2,39,11,1,4,2,45,1,No
169,58,Male,Married,Sales,Executive,3,12104,77,22,3,4,4,2,1,94,No,6,33,4,2,4,4,2,1,No
170,21,Female,Single,Sales,Executive,2,8710,97,26,3,6,3,5,2,42,Yes,9,30,16,4,3,4,21,4,No
171,22,Female,Married,Sales,Assistant,4,12926,82,26,8,1,1,5,3,95,Yes,2,45,2,3,2,4,23,3,No
172,56,Female,Single,IT,Executive,4,18977,20,15,5,4,4,3,3,55,Yes,7,54,0,3,1,2,29,2,No
173,36,Male,Single,Marketing,Executive,5,13328,25,5,8,1,4,5,1,97,Yes,1,54,15,1,1,2,31,1,No
174,21,Male,Married,HR,Manager,4,3331,35,24,2,9,1,2,2,81,No,4,48,2,1,1,2,22,1,No
175,21,Male,Married,Marketing,Assistant,1,18790,77,1,10,5,4,5,4,5,No,1,56,16,3,1,3,6,1,Yes
176,47,Male,Divorced,Finance,Analyst,1,6834,44,9,9,9,2,5,2,2,No,1,44,3,1,2,1,47,3,Yes
177,42,Female,Divorced,Finance,Executive,2,19177,96,9,2,7,1,5,4,39,No,7,33,2,4,4,4,12,3,Yes
178,56,Female,Divorced,Marketing,Analyst,4,11899,35,13,9,6,4,1,4,77,Yes,5,30,0,4,2,4,26,1,No
179,51,Female,Divorced,Sales,Executive,5,10210,37,11,10,4,3,5,4,37,Yes,8,46,5,1,1,1,10,2,Yes
180,52,Female,Divorced,IT,Manager,2,8804,75,28,6,2,4,2,4,16,No,2,48,10,3,4,2,12,3,No
181,20,Female,Married,HR,Assistant,3,10733,44,23,12,3,3,1,4,50,No,6,50,7,1,1,3,15,4,No
182,38,Female,Divorced,Sales,Assistant,5,3252,60,24,12,1,2,5,4,26,No,9,43,5,1,3,1,18,1,No
183,21,Male,Married,Marketing,Analyst,3,12190,74,29,5,5,1,5,4,36,Yes,3,38,4,3,2,1,5,3,No
184,45,Female,Divorced,Marketing,Manager,2,17122,32,9,7,7,4,2,2,25,No,6,44,4,2,4,3,15,1,No
185,51,Female,Single,IT,Analyst,1,8827,76,29,14,7,2,3,4,77,Yes,9,42,17,3,3,3,28,2,No
186,25,Female,Divorced,IT,Manager,5,11484,59,5,7,8,3,2,2,59,No,3,38,9,4,4,4,9,4,No
187,51,Male,Single,Marketing,Executive,5,10552,75,14,4,4,2,4,3,99,Yes,5,47,13,2,3,1,36,2,Yes
188,23,Female,Married,Sales,Executive,2,17351,73,27,7,9,2,2,1,87,No,6,42,14,2,3,4,17,3,No
189,30,Female,Divorced,Sales,Manager,5,19420,49,16,3,5,3,3,3,20,Yes,1,59,14,3,4,3,21,4,No
190,36,Male,Married,Sales,Executive,5,4444,36,2,3,1,1,2,3,64,Yes,8,40,4,1,1,3,27,2,No
191,57,Female,Divorced,HR,Assistant,2,10793,38,15,7,9,2,1,2,61,No,3,55,1,3,4,1,29,2,No
192,43,Male,Married,HR,Manager,4,9677,65,17,1,3,2,1,1,41,Yes,8,34,5,4,4,3,43,2,Yes
193,24,Male,Divorced,Sales,Manager,2,10861,79,5,8,2,3,2,1,95,No,1,55,9,4,2,1,42,1,Yes
194,53,Female,Divorced,Marketing,Analyst,5,16268,29,24,11,8,3,1,4,62,Yes,4,48,7,2,4,4,39,1,Yes
195,25,Female,Single,IT,Manager,2,13634,42,10,2,5,2,3,3,74,Yes,4,35,17,3,2,3,10,4,No
196,41,Male,Married,Finance,Analyst,5,9420,56,15,1,5,4,4,3,57,No,8,32,12,4,1,2,40,2,No
197,30,Female,Married,IT,Manager,3,7378,34,20,6,3,3,4,2,80,Yes,4,45,6,2,2,2,3,3,No
198,35,Female,Married,IT,Assistant,3,3998,57,4,4,5,1,3,4,61,No,4,47,18,2,4,1,4,2,No
199,52,Male,Married,Finance,Assistant,1,7302,94,4,7,0,4,5,1,66,Yes,7,39,3,4,2,2,49,2,No
200,28,Male,Married,Sales,Assistant,2,10830,83,24,12,8,4,5,3,28,No,8,32,8,3,3,3,34,4,No
201,25,Female,Single,IT,Analyst,2,17898,77,29,3,2,2,4,3,18,Yes,6,31,6,3,3,2,42,2,Yes
202,35,Male,Divorced,Finance,Analyst,3,17054,57,7,11,4,1,1,3,96,Yes,4,30,9,2,3,3,14,4,No
203,48,Female,Single,Marketing,Executive,3,9735,93,29,2,6,4,1,2,4,Yes,7,45,19,1,3,1,23,1,No
204,22,Female,Married,Marketing,Analyst,3,3130,16,27,12,1,3,5,2,65,Yes,9,45,4,4,1,1,31,4,No
205,39,Female,Married,Marketing,Analyst,1,15423,91,1,11,3,1,4,1,8,No,2,59,6,2,1,4,38,1,No
206,55,Female,Divorced,Sales,Assistant,1,14609,37,26,4,5,1,2,4,40,No,3,52,1,3,2,4,40,4,No
207,38,Male,Single,IT,Manager,4,13409,26,22,4,0,2,2,2,24,No,1,51,8,1,2,1,49,1,No
208,45,Female,Divorced,IT,Analyst,2,4186,60,20,11,5,4,1,1,83,Yes,7,33,19,2,2,3,3,4,Yes
209,22,Male,Divorced,HR,Executive,1,7294,47,2,4,4,3,3,3,74,No,6,42,11,4,1,4,13,2,No
210,38,Female,Single,Marketing,Manager,5,11135,58,19,3,1,4,5,1,11,No,8,48,7,3,1,1,19,4,No
211,39,Female,Divorced,Sales,Analyst,2,14004,39,4,7,5,4,1,1,64,No,2,35,5,1,2,4,34,2,No
212,51,Male,Single,Finance,Manager,4,12709,49,26,5,4,3,3,3,87,No,5,45,10,1,2,3,31,1,No
213,26,Female,Single,Sales,Manager,3,19389,49,23,11,0,4,3,3,80,No,1,33,8,2,2,3,3,3,No
214,52,Male,Married,IT,Manager,4,5150,79,1,4,5,1,5,2,15,Yes,9,35,5,4,3,3,6,4,No
215,59,Male,Divorced,Marketing,Manager,2,17144,57,1,5,6,2,3,3,54,Yes,2,54,12,4,2,4,49,4,No
216,58,Female,Married,HR,Manager,3,15458,82,3,7,8,2,3,3,37,Yes,7,36,19,3,1,3,47,2,No
217,37,Female,Divorced,Sales,Analyst,4,8808,76,18,4,1,1,5,4,42,No,7,48,9,2,2,1,47,3,No
218,59,Female,Divorced,HR,Manager,4,10892,45,3,12,5,4,4,3,7,No,4,57,11,2,1,2,27,2,No
219,20,Female,Married,IT,Manager,2,8553,42,3,13,5,4,2,4,52,No,6,49,4,3,4,2,6,3,No
220,30,Male,Married,Finance,Executive,1,10154,25,27,14,0,2,4,3,60,No,2,54,4,2,3,1,8,4,No
221,47,Female,Married,Sales,Executive,5,10139,46,13,10,7,2,2,2,87,No,2,59,3,2,2,1,32,3,Yes
